ISO,Country,Data source,Sector,Gas,Unit,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
SGP,Singapore,Climate Watch,Industrial Processes,All GHG,MtCO₂e,16.95,15.87,15.24,14.62,13.99,13.36,12.73,12.2,11.66,11.12,10.58,10.05,10.06,10.08,10.1,10.11,10.13,10.24,10.34,10.45,10.56,10.66,10.25,9.83,9.42,9.0,8.59,6.96,5.33,3.69,2.06,0.43
IRQ,Iraq,Climate Watch,Industrial Processes,All GHG,MtCO₂e,16.9,16.2,15.33,13.76,9.75,8.88,7.31,6.58,7.24,6.16,5.84,4.79,4.25,3.86,2.99,2.42,2.04,1.84,1.59,3.39,3.08,3.08,2.6,1.34,1.12,0.98,1.09,1.03,1.01,1.0,2.22,4.31
ISR,Israel,Climate Watch,Industrial Processes,All GHG,MtCO₂e,16.59,15.28,14.55,14.15,13.71,13.06,12.65,12.5,12.16,12.03,11.82,11.38,10.48,10.37,9.9,9.2,8.52,8.06,7.67,7.36,7.1,7.18,6.58,5.77,4.57,3.79,3.29,2.79,2.63,2.36,2.15,1.83
AUS,Australia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,16.2,16.41,17.05,17.37,17.86,18.19,17.92,17.25,16.79,17.36,16.92,16.7,15.83,15.2,13.98,12.87,13.42,12.34,11.68,10.68,10.05,8.57,8.17,8.54,7.63,7.73,7.69,8.45,9.91,10.3,10.37,10.81
DZA,Algeria,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,15.95,13.31,13.95,12.77,12.05,10.91,10.83,10.26,10.02,10.07,10.82,10.71,9.87,10.1,9.74,8.72,8.23,8.11,7.03,6.63,6.27,6.18,6.07,5.67,5.31,5.9,6.28,5.98,6.25,6.33,6.24,5.69
GBR,United Kingdom,Climate Watch,Industrial Processes,All GHG,MtCO₂e,15.81,16.4,18.07,19.1,20.26,21.52,22.07,22.05,21.59,21.07,21.31,23.52,22.43,24.88,25.72,24.64,24.55,24.25,24.34,23.1,24.46,25.04,26.14,44.4,47.04,43.79,42.49,42.68,40.76,43.68,48.62,49.39
COL,Colombia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,15.77,13.94,14.63,15.7,15.32,14.64,14.34,16.24,16.65,11.89,15.25,12.03,12.09,13.72,12.12,11.74,14.74,13.98,14.55,16.02,16.0,16.22,14.8,15.72,17.03,16.21,15.51,15.81,14.86,13.36,13.03,12.51
ESP,Spain,Climate Watch,Industrial Processes,All GHG,MtCO₂e,15.55,15.82,17.38,18.67,19.14,19.79,19.79,26.0,24.8,25.89,26.79,29.26,29.67,34.1,35.62,33.6,31.13,29.12,28.9,26.51,27.6,30.81,29.14,26.37,25.28,23.27,22.51,19.92,16.41,17.79,18.57,19.91
IRQ,Iraq,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,15.39,15.58,16.38,13.94,12.15,11.76,7.97,9.1,12.23,14.14,8.4,7.57,7.12,6.75,8.08,6.77,7.02,7.48,7.06,9.85,10.88,10.49,10.11,9.79,9.83,10.33,10.19,10.38,9.63,8.71,6.91,7.82
KWT,Kuwait,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,15.13,14.26,13.24,12.46,12.28,11.49,11.11,9.75,12.3,11.87,11.96,10.51,9.82,9.2,7.46,10.61,11.54,8.0,8.43,6.68,7.13,7.62,5.47,6.47,4.27,4.67,6.01,6.19,7.18,5.26,0.99,4.06
NGA,Nigeria,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,14.77,13.34,14.25,14.01,12.7,13.91,13.75,13.44,12.89,11.34,11.11,5.74,5.56,8.5,6.75,6.0,6.18,6.91,8.4,3.47,3.49,3.85,3.2,3.07,3.07,3.63,3.25,3.54,4.12,4.46,3.79,3.89
CHL,Chile,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,14.44,14.15,14.64,14.55,14.59,15.2,15.22,14.19,13.06,11.76,14.14,13.85,11.45,12.25,12.17,12.26,10.73,10.76,10.93,10.55,11.36,10.46,10.32,10.8,12.87,9.67,8.95,7.94,8.11,7.67,6.75,6.46
POL,Poland,Climate Watch,Industrial Processes,All GHG,MtCO₂e,14.43,15.24,15.81,16.34,16.25,16.35,16.1,16.17,15.1,15.47,16.02,14.34,13.18,17.05,17.8,15.97,14.19,13.21,11.94,10.82,11.22,11.71,10.46,10.49,11.07,10.63,10.9,10.47,8.95,8.87,8.77,9.19
ROU,Romania,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,14.39,13.44,12.95,12.65,11.95,11.79,12.52,12.56,12.42,13.25,13.41,12.85,12.62,18.57,19.05,19.82,21.05,20.73,20.71,21.3,20.3,18.8,17.68,20.29,25.42,29.98,31.24,26.54,15.69,17.24,45.59,60.48
COL,Colombia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,13.93,12.77,12.85,12.2,11.72,11.39,11.21,10.57,9.71,9.6,8.77,7.86,7.44,7.63,7.42,6.69,6.38,5.65,5.37,4.89,4.7,4.61,3.94,4.71,4.58,4.29,4.3,4.26,3.64,3.19,3.0,2.98
OMN,Oman,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,13.42,12.43,14.01,13.77,14.12,14.27,12.67,12.04,10.57,10.31,9.55,8.15,8.31,8.88,12.27,10.85,4.69,4.55,5.05,5.07,3.94,3.31,2.89,1.16,1.58,2.78,3.18,2.44,3.24,4.67,5.79,2.17
SGP,Singapore,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,13.03,12.26,12.39,12.32,14.07,11.66,12.82,12.62,11.73,10.22,10.32,9.78,8.59,5.96,5.74,5.44,5.19,4.82,4.37,3.68,3.46,3.26,0.33,0.35,0.38,0.4,0.47,0.54,0.5,0.46,0.42,0.44
UZB,Uzbekistan,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,13.01,11.81,13.2,11.6,11.88,10.74,9.98,11.23,12.97,14.13,17.58,17.38,15.12,17.03,16.39,16.89,16.2,16.96,17.01,17.82,17.04,16.91,16.34,15.83,7.83,10.55,13.6,0.23,0.27,0.31,0.39,0.41
CZE,Czech Republic,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,12.92,11.98,11.82,12.52,12.31,11.54,11.81,11.64,11.86,12.65,12.87,13.4,16.79,17.35,18.22,19.88,20.29,20.85,20.73,20.6,22.5,24.19,20.0,23.31,24.88,25.48,26.62,27.52,33.18,40.25,37.23,46.9
VEN,Venezuela,Climate Watch,Industrial Processes,All GHG,MtCO₂e,12.8,11.86,11.15,10.9,11.66,11.22,11.59,11.37,11.59,11.31,10.95,10.61,10.22,9.61,8.96,9.57,6.67,6.27,7.37,7.01,7.71,7.61,7.85,7.88,8.14,8.15,8.49,8.52,8.85,9.1,9.35,9.22
PHL,Philippines,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,12.79,10.97,13.51,14.57,17.01,15.66,13.53,13.2,12.68,10.98,11.86,12.16,10.46,12.18,11.6,9.95,9.78,9.31,9.3,8.24,8.78,9.29,11.36,11.76,13.01,11.05,11.74,8.63,9.31,7.65,7.29,9.43
AUT,Austria,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,10.93,10.53,10.78,10.68,10.77,10.85,10.55,10.45,10.79,11.17,11.36,11.24,10.73,11.37,11.11,11.4,11.17,11.82,11.15,10.39,10.64,10.78,9.61,10.38,11.05,9.9,9.78,9.33,9.47,9.22,10.16,9.59
UKR,Ukraine,Climate Watch,Industrial Processes,All GHG,MtCO₂e,10.25,9.78,9.54,9.16,8.86,8.79,8.3,8.34,8.45,8.35,9.14,7.24,6.16,11.05,11.29,9.6,8.74,7.82,7.33,6.34,5.56,5.37,5.28,5.44,5.49,5.01,6.04,8.18,10.28,13.4,5.41,6.23
UZB,Uzbekistan,Climate Watch,Industrial Processes,All GHG,MtCO₂e,9.65,8.54,7.85,7.06,6.89,6.64,6.53,6.09,5.91,5.79,5.76,5.86,5.68,5.44,5.01,4.65,4.41,4.14,3.65,3.43,3.42,3.11,3.08,3.33,3.15,3.25,3.22,3.55,4.25,4.66,2.24,1.71
ARE,United Arab Emirates,Climate Watch,Industrial Processes,All GHG,MtCO₂e,8.54,8.29,8.6,8.87,8.83,8.54,9.68,9.54,7.7,7.31,7.61,8.26,8.58,9.53,7.44,6.18,5.02,4.72,4.4,4.06,3.75,3.77,4.1,4.05,3.29,3.53,3.45,3.1,2.69,2.62,2.5,2.43
SVK,Slovakia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,8.04,7.26,7.52,8.44,7.81,7.36,7.16,7.27,7.06,6.91,6.76,6.82,6.45,8.02,8.28,8.41,8.43,8.32,8.83,9.15,8.58,9.87,9.22,9.76,10.84,11.23,10.5,11.71,11.22,13.49,14.37,15.9
MAR,Morocco,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,7.62,6.73,7.65,7.88,7.94,6.93,7.49,7.73,8.79,8.88,8.65,7.67,7.24,7.65,6.8,6.78,6.68,6.41,4.17,5.38,5.63,5.57,5.81,5.42,5.39,5.53,4.66,5.58,5.0,5.86,5.66,5.41
GRC,Greece,Climate Watch,Industrial Processes,All GHG,MtCO₂e,7.41,7.59,8.41,8.92,9.63,10.17,9.65,9.87,9.58,8.7,7.78,9.23,9.64,11.49,11.92,12.13,12.6,12.02,11.86,12.22,12.19,12.8,14.06,13.15,12.69,12.36,11.57,9.69,9.04,8.26,8.33,8.34
FIN,Finland,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,7.24,6.98,7.54,7.72,7.6,7.58,7.44,7.75,7.77,7.91,8.67,9.31,7.72,9.27,9.71,10.06,10.01,10.54,10.46,10.8,11.15,11.25,13.1,13.71,12.23,11.9,12.04,13.71,12.47,12.91,13.33,13.85
MMR,Myanmar,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,7.16,8.47,8.99,8.54,8.29,3.95,5.42,4.96,4.01,3.68,2.45,2.36,2.05,2.0,1.94,1.99,2.06,1.92,2.53,1.48,2.36,2.4,1.42,1.14,1.23,1.01,0.97,0.93,0.76,1.13,0.96,0.97
SWE,Sweden,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,7.13,6.94,7.38,7.27,7.26,7.21,7.55,7.33,7.79,8.25,8.98,9.32,7.24,9.72,10.22,10.18,11.09,12.6,12.54,12.91,12.52,14.03,14.64,14.56,14.51,15.65,15.19,15.0,14.71,13.61,11.7,12.22
KHM,Cambodia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,7.05,6.44,5.97,4.15,3.01,2.01,1.11,0.92,0.86,0.79,0.68,0.56,0.52,0.53,0.19,0.12,0.1,0.09,0.09,0.08,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.01,0.01,0.0,0.0
PER,Peru,Climate Watch,Industrial Processes,All GHG,MtCO₂e,7.02,5.35,5.88,5.57,5.45,5.41,5.46,5.51,5.1,4.51,4.01,3.97,3.91,3.47,3.21,3.04,2.75,2.49,2.19,2.16,2.12,2.08,2.01,2.23,2.19,1.96,1.92,1.66,1.35,1.18,1.26,1.27
HUN,Hungary,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,6.95,6.63,6.68,6.83,6.54,5.89,5.82,5.42,5.66,4.99,5.75,4.38,4.1,5.58,5.7,5.79,5.95,5.83,5.92,6.07,6.02,5.78,6.23,6.44,6.89,8.56,8.32,8.4,8.89,9.49,11.78,14.09
LBY,Libya,Climate Watch,Industrial Processes,All GHG,MtCO₂e,6.95,6.27,6.1,6.09,5.72,5.2,5.18,5.65,3.41,3.08,3.35,4.4,4.05,3.51,3.25,3.16,2.36,2.31,2.22,2.1,1.93,1.89,1.79,1.7,1.41,1.73,1.49,1.72,1.09,1.07,1.08,1.19
PER,Peru,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,6.93,6.58,8.32,8.19,7.81,7.84,8.97,8.67,8.75,7.73,8.18,7.63,8.63,8.77,9.14,7.59,8.14,7.97,6.94,7.31,6.83,7.57,7.35,6.18,5.84,5.94,5.37,4.29,4.62,4.19,4.61,4.1
KEN,Kenya,Climate Watch,Industrial Processes,All GHG,MtCO₂e,6.9,5.86,4.99,4.86,4.8,4.88,4.54,4.17,3.64,3.3,3.08,2.57,2.31,1.99,1.78,1.53,1.44,1.22,1.11,0.98,0.88,0.86,0.87,0.84,0.86,0.99,0.85,0.78,0.76,0.79,0.74,0.77
NOR,Norway,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,6.74,6.56,6.4,6.52,6.42,6.23,6.3,6.42,6.69,6.57,6.61,6.52,5.16,6.17,6.05,6.16,6.19,6.93,6.68,5.44,6.28,6.65,6.22,6.05,5.82,6.19,5.7,5.64,4.72,4.6,5.03,6.31
NPL,Nepal,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,6.35,7.08,5.01,5.22,4.35,3.74,2.79,2.64,1.99,2.28,1.46,1.24,0.77,0.76,0.82,0.63,1.04,0.67,0.78,0.65,1.28,1.13,1.05,0.31,0.3,0.31,0.36,0.34,0.19,0.15,0.26,0.21
TUN,Tunisia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,6.15,5.35,5.85,5.81,5.4,5.58,6.08,5.75,4.75,5.23,4.34,5.17,4.8,4.76,4.43,4.3,4.11,4.07,3.73,3.7,3.53,3.48,2.98,2.75,2.57,2.56,2.67,2.43,2.25,2.1,2.1,1.72
JOR,Jordan,Climate Watch,Industrial Processes,All GHG,MtCO₂e,6.1,5.73,5.43,5.59,5.15,4.74,4.38,4.09,3.76,3.45,2.78,2.94,2.81,2.86,2.72,2.46,2.05,2.0,1.85,1.86,1.71,1.49,1.45,1.37,1.55,1.59,1.53,1.72,1.51,1.35,0.61,0.78
NZL,New Zealand,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,6.1,6.34,6.96,6.57,6.59,6.69,6.61,6.87,6.17,5.35,5.15,5.48,5.16,5.58,5.54,5.14,5.08,5.9,6.32,6.76,6.48,6.06,5.55,5.64,5.88,6.11,6.03,6.31,6.33,6.08,6.09,5.95
PRK,North Korea,Climate Watch,Industrial Processes,All GHG,MtCO₂e,5.99,5.55,5.4,5.36,5.62,5.59,5.32,5.24,5.15,4.99,4.94,4.83,4.5,4.33,3.97,3.74,3.4,3.17,3.03,2.83,2.7,2.42,2.63,2.67,3.17,3.77,4.36,4.88,4.53,4.64,4.62,4.81
BGD,Bangladesh,Climate Watch,Industrial Processes,All GHG,MtCO₂e,5.89,5.49,5.13,4.57,3.92,3.37,2.86,2.36,2.17,1.91,1.75,1.55,1.49,1.42,1.32,1.26,1.24,1.23,1.25,1.26,1.27,1.01,0.69,0.48,0.4,0.28,0.15,0.15,0.14,0.13,0.12,0.13
MAR,Morocco,Climate Watch,Industrial Processes,All GHG,MtCO₂e,5.77,5.07,5.55,5.4,5.54,5.65,5.66,5.57,6.46,6.21,5.55,5.7,5.91,5.74,5.26,4.7,4.57,4.58,4.34,4.27,4.19,3.41,3.19,3.16,3.09,2.83,2.76,2.76,2.78,2.8,2.57,1.9
ROU,Romania,Climate Watch,Industrial Processes,All GHG,MtCO₂e,5.7,5.74,5.78,5.57,5.5,5.49,5.39,4.8,4.59,5.43,5.45,5.05,4.78,6.28,7.5,6.69,6.72,6.44,5.85,6.01,6.84,7.67,7.13,7.58,8.28,9.02,8.89,7.71,8.06,7.94,8.32,11.35
LAO,Laos,Climate Watch,Industrial Processes,All GHG,MtCO₂e,5.67,2.51,2.13,1.96,1.61,1.39,1.25,0.91,0.88,0.62,0.54,0.5,0.42,0.18,0.18,0.18,0.12,0.12,0.12,0.11,0.05,0.05,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.0,0.0
KAZ,Kazakhstan,Climate Watch,Industrial Processes,All GHG,MtCO₂e,5.63,6.15,5.43,5.46,5.31,4.95,4.84,4.55,4.43,3.7,2.47,2.33,1.91,1.92,1.28,0.95,0.63,0.62,0.21,0.22,0.39,0.19,0.04,0.07,0.06,0.02,0.11,0.18,0.37,0.72,0.03,0.03
OMN,Oman,Climate Watch,Industrial Processes,All GHG,MtCO₂e,5.59,5.35,4.86,4.56,4.14,4.19,3.8,3.56,3.62,3.55,3.03,2.7,2.4,2.26,2.12,1.86,1.4,1.37,1.32,1.02,0.88,0.81,0.76,0.76,0.69,0.64,0.56,0.56,0.47,0.45,0.45,0.44
PRT,Portugal,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,5.55,5.42,5.55,5.62,5.77,5.44,5.63,5.67,5.49,5.69,6.46,6.74,6.6,7.2,8.06,7.61,7.87,8.17,8.79,10.29,10.31,11.01,10.77,10.59,9.42,8.85,8.33,8.68,7.92,8.27,8.45,8.2
VEN,Venezuela,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,5.41,7.21,9.68,17.6,18.08,17.0,18.75,29.62,32.84,36.31,34.3,36.46,21.19,19.85,14.64,29.53,32.25,32.65,29.86,29.17,25.75,24.72,25.4,31.77,32.29,30.88,28.2,25.96,25.85,22.81,25.14,23.58
CUB,Cuba,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,5.13,5.24,5.12,6.05,5.78,5.24,6.57,4.66,7.35,7.33,6.84,7.67,6.9,7.19,8.23,7.82,6.4,5.09,5.79,8.0,11.95,11.18,11.41,10.07,9.56,7.52,6.8,6.19,5.91,6.36,7.68,11.16
BEL,Belgium,Climate Watch,Industrial Processes,All GHG,MtCO₂e,5.08,5.23,5.65,5.6,5.58,5.96,5.83,6.25,6.07,6.27,6.2,7.08,6.79,6.83,6.72,7.22,7.85,7.72,7.59,8.16,8.23,8.64,8.55,8.69,8.44,8.38,8.1,7.68,7.07,6.84,6.7,6.5
BGR,Bulgaria,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,5.02,4.45,4.62,4.85,4.4,3.74,3.69,3.37,3.31,3.3,3.64,3.73,3.51,6.13,8.44,7.97,7.85,8.02,8.12,7.52,7.9,8.0,7.87,11.4,14.15,8.76,9.07,7.93,6.41,7.4,8.91,12.12
CHE,Switzerland,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,4.88,4.71,4.87,4.98,5.16,5.25,5.15,5.37,5.51,5.44,5.38,5.74,5.52,6.05,6.03,6.15,5.77,5.8,5.81,5.51,6.12,5.8,6.41,6.0,5.97,6.36,6.53,6.23,6.53,6.67,7.01,6.58
TUN,Tunisia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,4.86,4.44,4.93,4.9,5.19,5.2,5.36,5.36,4.8,4.67,4.24,4.63,4.43,5.04,5.03,5.02,4.58,4.64,4.41,3.67,3.73,3.63,3.32,3.31,3.16,3.15,2.93,2.91,3.09,3.42,3.09,3.4
SEN,Senegal,Climate Watch,Industrial Processes,All GHG,MtCO₂e,4.83,4.55,4.32,3.66,3.44,3.29,2.95,2.94,2.95,2.61,2.5,2.16,1.82,1.67,1.64,1.5,1.35,1.24,0.96,0.93,0.87,0.78,0.6,0.57,0.47,0.42,0.34,0.32,0.27,0.27,0.22,0.2
CHL,Chile,Climate Watch,Industrial Processes,All GHG,MtCO₂e,4.7,4.43,4.19,3.87,3.85,3.85,3.56,3.56,3.62,3.67,3.63,3.6,3.33,3.25,2.95,2.56,2.44,2.49,2.42,2.4,2.34,2.35,2.13,2.14,1.79,1.64,1.51,1.54,1.35,1.16,1.0,0.96
DOM,Dominican Republic,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,4.62,4.16,4.0,3.21,3.28,3.27,2.99,2.92,3.21,2.6,2.43,2.87,2.48,2.44,2.35,2.48,1.86,1.65,2.1,2.12,1.29,1.31,1.15,1.04,1.28,1.1,1.01,0.93,0.73,0.85,0.77,0.81
BLR,Belarus,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,4.61,4.73,4.85,4.78,4.67,4.53,4.48,5.35,5.23,5.13,4.77,4.68,4.25,4.55,4.28,4.0,4.04,3.92,3.61,3.24,3.27,3.22,4.27,4.45,3.88,3.86,3.41,4.18,5.53,5.48,8.17,8.39
CZE,Czech Republic,Climate Watch,Industrial Processes,All GHG,MtCO₂e,4.61,4.71,5.01,5.11,5.19,5.38,5.12,4.81,4.42,4.65,4.64,4.21,4.17,4.67,4.49,3.97,3.67,3.64,3.29,3.12,3.37,3.59,3.41,3.67,3.56,3.48,3.36,3.42,3.19,3.67,1.01,1.39
AFG,Afghanistan,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,4.59,4.29,3.91,3.86,3.48,2.98,2.93,3.71,3.37,3.25,4.17,2.39,1.67,1.21,0.74,0.35,0.35,0.24,0.49,0.56,0.23,0.23,0.25,0.28,0.3,0.32,0.34,0.36,0.38,0.39,0.53,0.57
ETH,Ethiopia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,4.52,4.55,4.46,4.36,4.15,3.86,3.42,2.57,2.16,1.72,1.11,0.9,0.89,0.92,0.82,0.85,0.76,0.66,0.58,0.48,0.47,0.46,0.35,0.38,0.36,0.32,0.27,0.21,0.16,0.14,0.13,0.15
TTO,Trinidad and Tobago,Climate Watch,Industrial Processes,All GHG,MtCO₂e,4.48,4.25,4.01,3.75,3.5,3.27,3.06,2.8,2.53,2.22,2.03,1.76,1.65,1.55,1.39,1.25,1.03,1.02,0.98,0.93,0.86,0.84,0.74,0.66,0.57,0.47,0.37,0.36,0.32,0.28,0.27,0.23
GRC,Greece,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,4.37,4.21,4.62,5.11,5.29,6.51,6.34,6.02,5.66,5.86,5.81,6.71,6.49,8.58,10.27,9.08,8.75,8.84,9.59,9.95,10.39,10.26,9.36,10.45,10.49,10.38,9.69,8.95,9.03,9.23,9.59,9.7
BHR,Bahrain,Climate Watch,Industrial Processes,All GHG,MtCO₂e,4.34,4.13,3.85,3.72,3.53,3.19,2.76,2.63,2.41,2.2,1.97,1.72,1.46,1.12,1.03,0.95,0.86,0.85,0.83,0.81,0.79,0.78,0.68,0.59,0.5,0.4,0.31,0.27,0.19,0.16,0.14,0.11
PRT,Portugal,Climate Watch,Industrial Processes,All GHG,MtCO₂e,4.23,4.62,4.75,5.0,5.51,5.5,5.98,6.01,5.6,5.16,5.28,5.89,5.54,6.37,6.34,5.91,5.84,5.63,5.06,5.2,4.78,4.9,4.8,4.46,4.37,4.11,4.15,3.81,3.76,3.77,3.89,3.82
CIV,Côte d'Ivoire,Climate Watch,Industrial Processes,All GHG,MtCO₂e,4.22,3.99,3.7,3.4,3.11,2.82,2.52,2.27,2.02,1.78,1.53,1.28,1.15,1.03,0.9,0.77,0.65,0.62,0.6,0.57,0.54,0.52,0.43,0.35,0.27,0.19,0.11,0.09,0.07,0.04,0.02,0.0
ETH,Ethiopia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,4.21,4.04,5.19,4.73,4.08,4.42,3.59,3.9,2.95,2.35,2.48,1.74,1.37,1.39,1.34,1.23,1.15,1.12,0.95,1.01,0.96,0.79,0.71,0.72,0.66,0.61,0.57,0.52,0.39,0.26,0.56,0.55
DOM,Dominican Republic,Climate Watch,Industrial Processes,All GHG,MtCO₂e,4.13,3.55,3.62,3.44,3.28,3.15,3.06,2.9,2.51,2.37,2.24,2.2,2.05,2.15,2.07,1.91,1.47,1.4,1.49,1.53,1.39,1.27,1.15,0.95,0.9,0.78,0.67,0.59,0.58,0.62,0.56,0.48
LBN,Lebanon,Climate Watch,Industrial Processes,All GHG,MtCO₂e,4.13,4.02,4.3,4.7,4.63,4.43,4.27,4.3,4.04,3.7,3.7,3.51,3.39,3.08,2.94,2.6,3.25,3.08,2.75,2.09,2.08,1.99,1.64,1.59,1.04,0.93,0.56,0.23,0.25,0.17,0.12,0.13
IRL,Ireland,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,4.05,3.95,4.09,4.17,3.94,3.77,3.65,3.66,3.39,3.27,3.21,3.61,3.51,4.62,4.8,5.22,5.23,5.04,4.96,4.81,5.14,5.18,4.45,4.29,4.36,4.04,4.2,4.23,4.05,3.89,4.22,4.14
DNK,Denmark,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,4.03,3.74,3.67,3.77,3.78,3.53,3.41,3.47,3.46,3.7,4.01,4.02,3.83,4.67,5.17,5.35,5.18,5.38,5.25,5.21,5.61,5.42,5.73,5.68,5.84,5.93,6.0,5.76,5.72,5.78,5.92,5.49
ISR,Israel,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,3.86,4.3,5.04,4.37,4.98,4.17,4.53,5.14,4.93,1.31,0.86,3.03,2.03,1.7,0.98,0.9,0.83,0.88,1.03,1.29,1.31,1.48,1.55,1.69,1.92,2.82,2.94,2.67,2.36,1.63,3.16,3.19
SYR,Syria,Climate Watch,Industrial Processes,All GHG,MtCO₂e,3.73,3.49,3.31,3.17,3.05,3.05,2.73,2.65,3.32,3.94,3.54,3.85,3.37,3.24,2.99,2.66,2.42,2.36,2.31,2.19,2.24,2.02,2.22,2.02,2.12,1.98,1.97,1.97,1.96,1.61,1.51,1.5
TZA,Tanzania,Climate Watch,Industrial Processes,All GHG,MtCO₂e,3.63,3.56,3.45,2.55,2.31,2.15,1.67,1.49,1.26,1.28,1.17,1.09,0.92,0.83,0.77,0.66,0.64,0.61,0.56,0.5,0.44,0.41,0.4,0.37,0.29,0.33,0.26,0.15,0.24,0.23,0.23,0.23
NPL,Nepal,Climate Watch,Industrial Processes,All GHG,MtCO₂e,3.54,3.25,3.85,3.47,3.14,2.29,1.54,1.23,1.18,1.06,0.83,0.55,0.49,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.1,0.13,0.14,0.13,0.12,0.1,0.06,0.05
